,name,scores_avg
555,Assetto Corsa Competizione,74.66666666666667
556,Astalon: Tears of the Earth,82.0
557,Astebreed,86.0
558,Asterix & Obelix XXL 2,61.666666666666664
559,Asterix & Obelix XXL 3: The Crystal Menhir,55.5
560,Asterix & Obelix: Slap Them All!,63.5
561,Asteroids & Deluxe,55.0
562,Astonishia Story,48.0
563,Astral Chain,87.0
564,Astria Ascending,64.33333333333333
565,Astro Bears Party,57.0
566,Astro Bot: Rescue Mission,90.0
567,Astro Boy: The Video Game,41.0
568,Astro Duel Deluxe,59.0
569,Astro's Playroom,83.0
570,AstroPop,78.0
571,Astrologaster,79.0
572,Asura's Wrath,71.0
573,Atari Classics Evolved,64.0
574,Atari Flashback Classics,67.0
575,Atelier Annie: Alchemists of Sera Island,70.0
576,Atelier Arland Series Deluxe Pack,81.0
577,Atelier Ayesha Plus: The Alchemist of Dusk,76.0
578,Atelier Ayesha: The Alchemist of Dusk,70.0
579,Atelier Dusk Trilogy Deluxe Pack,79.0
580,Atelier Escha & Logy Plus: Alchemists of the Dusk Sky,75.0
581,Atelier Escha & Logy: Alchemists of the Dusk Sky,79.0
582,Atelier Firis: The Alchemist and the Mysterious Journey,74.0
583,Atelier Iris 2: The Azoth of Destiny,68.0
584,Atelier Iris 3: Grand Phantasm,63.0
585,Atelier Iris: Eternal Mana,74.0
586,Atelier Lulua: The Scion of Arland,78.0
587,Atelier Lydie & Suelle: The Alchemists and the Mysterious Paintings,69.0
588,Atelier Meruru Plus: The Apprentice of Arland,74.0
589,Atelier Meruru: The Apprentice of Arland,66.0
590,Atelier Mysterious Trilogy Deluxe Pack,78.5
591,Atelier Rorona Plus: The Alchemist of Arland,79.5
592,Atelier Rorona: The Alchemist of Arland,65.0
593,Atelier Ryza 2: Lost Legends & the Secret Fairy,80.75
594,Atelier Ryza: Ever Darkness & the Secret Hideout,79.5
595,Atelier Shallie Plus: Alchemists of the Dusk Sea,78.0
596,Atelier Shallie: Alchemists of the Dusk Sea,76.0
597,Atelier Sophie: The Alchemist of the Mysterious Book,75.0
598,Atelier Totori: The Adventurer of Arland,74.0
599,Atlantis Quest,60.0
600,Atlas Reactor,81.0
601,Atom Zombie Smasher,75.0
602,Atomega,65.0
603,Atomic Betty,62.0
604,Atomic Ninjas,59.5
605,Atomicrops,78.0
606,Attack of the Earthlings,71.0
607,Attack of the Friday Monsters! A Tokyo Tale,77.0
608,Attack of the Movies 3D,38.0
609,Attack on Pearl Harbor,64.0
610,Attack on Titan,75.5
611,Attack on Titan 2,73.66666666666667
612,Attack on Titan 2: Final Battle,74.5
